obj,UpperBound,time,image,method, bleh
3.830590822691863,3.924322592561487,356.754,75,cayley,
3.830590822691863,3.924322592561487,435.436,75,cayley,
3.830590822691863,3.924322592561487,436.595,75,cayley,
3.830590822691863,3.924322592561487,446.845,75,cayley,
3.830590822691863,3.924322592561487,465.404,75,cayley,
3.830590822691863,3.924322592561487,466.034,75,cayley,
3.830590822691863,3.924322592561487,480.184,75,cayley,
3.830590822691863,3.924322592561487,480.758,75,cayley,
3.831243139494355,3.924322592561487,491.362,75,cayley,
3.8324486497504684,3.924322592561487,517.136,75,cayley,
3.8324486497504684,3.924322592561487,528.415,75,cayley,
3.8324486497504684,3.924322592561487,537.391,75,cayley,
3.8324486497504684,3.924322592561487,537.875,75,cayley,
3.8324486497504684,3.924322592561487,538.126,75,cayley,
3.8324486497504684,3.924322592561487,549.631,75,cayley,
3.8324486497504684,3.924322592561487,550.026,75,cayley,
3.8324486497504684,3.924322592561487,561.546,75,cayley,
0.0839031223325982,1.4075189350418762,9.793,144,big-m,
0.0842241191840638,0.8858752636756313,64.124,144,big-m,
0.0842241191840638,0.8858752636756313,72.289,144,big-m,
0.08481771605942123,0.8207484646537975,100.913,144,big-m,
0.08481771605942123,0.6448149268513977,110.105,144,big-m,
0.08481771605942123,0.6448149268513977,111.256,144,big-m,
0.08481771605942123,0.6448149268513977,112.005,144,big-m,
0.08481771605942123,0.6448149268513977,112.009,144,big-m,
0.08481771605942123,0.6348779704787568,113.719,144,big-m,
0.08481771605942123,0.6348779704787568,116.977,144,big-m,
0.08481771605942123,0.6251493801995712,117.614,144,big-m,
0.08481771605942123,0.6223506146633027,117.618,144,big-m,
0.08481771605942123,0.6223506146633027,118.976,144,big-m,
0.08481771605942123,0.6141821453426167,119.663,144,big-m,
0.08481771605942123,0.43786108425793874,123.617,144,big-m,
0.08481771605942123,0.43786108425793874,123.623,144,big-m,
0.08481771605942123,0.43786108425793874,125.029,144,big-m,
0.08481771605942123,0.3674895520160512,126.148,144,big-m,
0.08481771605942123,0.3674895520160512,128.223,144,big-m,
0.08481771605942123,0.20307470793323157,130.126,144,big-m,
0.08481771605942123,0.19959387133971848,132.582,144,big-m,
0.08481771605942123,0.19947001747744,133.649,144,big-m,
0.08481771605942123,0.19947001747744,135.086,144,big-m,
0.08481771605942123,0.1954100915662175,139.567,144,big-m,
0.08481771605942123,0.19370635843511863,139.569,144,big-m,
0.08481771605942123,0.1872870536735215,140.412,144,big-m,
0.08481771605942123,0.1857894766421371,154.729,144,big-m,
0.08481771605942123,0.18131148112268802,163.861,144,big-m,
0.08481771605942123,0.17953078548543303,165.964,144,big-m,
0.08481771605942123,0.17489566001290507,165.966,144,big-m,
0.08481771605942123,0.17177895948344907,165.968,144,big-m,
0.08481771605942123,0.16976625212998295,165.971,144,big-m,
0.08481771605942123,0.16888684508822482,167.388,144,big-m,
0.08481771605942123,0.16869665437823203,167.391,144,big-m,
0.08481771605942123,0.16857489578141677,167.395,144,big-m,
0.08481771605942123,0.16821748625320265,167.397,144,big-m,
0.08481771605942123,0.1677584961770424,170.383,144,big-m,
0.08481771605942123,0.1673793637963372,170.385,144,big-m,
0.08481771605942123,0.16733825901063096,170.387,144,big-m,
0.08481771605942123,0.16712037283188516,171.496,144,big-m,
0.08481771605942123,0.16712037283188516,171.497,144,big-m,
0.08481771605942123,0.16662061670792427,174.505,144,big-m,
0.08481771605942123,0.16620293210383122,178.336,144,big-m,
0.08481771605942123,0.1660049578644162,179.656,144,big-m,
0.08481771605942123,0.16593548460004742,179.659,144,big-m,
0.08481771605942123,0.16575193197608526,183.524,144,big-m,
0.08481771605942123,0.1657023606351024,183.529,144,big-m,
0.08481771605942123,0.16567048304208454,183.532,144,big-m,
0.08481771605942123,0.16567048304208454,185.043,144,big-m,
0.08481771605942123,0.16567048304208454,185.047,144,big-m,
0.08481771605942123,0.16546377316939517,188.077,144,big-m,
0.08481771605942123,0.16525702487850485,191.527,144,big-m,
0.08481771605942123,0.16525702487850485,191.535,144,big-m,
0.08481771605942123,0.1650773447662433,195.709,144,big-m,
0.08481771605942123,0.16499554360935934,195.72,144,big-m,
0.08481771605942123,0.16496921378928334,195.728,144,big-m,
0.08481771605942123,0.16495084792310186,195.733,144,big-m,
0.08481771605942123,0.16482172240121468,198.881,144,big-m,
0.08481771605942123,0.16466455318965867,199.955,144,big-m,
0.08481771605942123,0.16463213376732555,199.959,144,big-m,
0.08481771605942123,0.16450705382362224,203.137,144,big-m,
0.08481771605942123,0.16450705382362224,203.139,144,big-m,
0.08481771605942123,0.16450705382362224,204.115,144,big-m,
0.08481771605942123,0.16450705382362224,204.117,144,big-m,
0.08481771605942123,0.164195517954622,205.882,144,big-m,
0.08481771605942123,0.1641052027315205,206.932,144,big-m,
0.08481771605942123,0.1640632051703115,206.936,144,big-m,
0.08481771605942123,0.16396687682918026,208.419,144,big-m,
0.08481771605942123,0.16394217337142425,209.337,144,big-m,
0.08481771605942123,0.16389640278500903,209.339,144,big-m,
0.08481771605942123,0.16389640278500903,209.341,144,big-m,
0.08481771605942123,0.16374697247252415,212.81,144,big-m,
0.08481771605942123,0.163707922223297,212.815,144,big-m,
0.08481771605942123,0.16357431446656048,215.557,144,big-m,
0.08481771605942123,0.1635392258499212,215.56,144,big-m,
0.08481771605942123,0.1635392258499212,215.561,144,big-m,
0.08481771605942123,0.1632445962973371,220.006,144,big-m,
0.08481771605942123,0.16319578397467666,220.01,144,big-m,
0.08481771605942123,0.16305178458717137,230.349,144,big-m,
0.08481771605942123,0.16305150814703,230.375,144,big-m,
0.08481771605942123,0.1630207974444553,230.389,144,big-m,
0.08481771605942123,0.162799801243247,230.398,144,big-m,
0.08481771605942123,0.16274682480148642,231.981,144,big-m,
0.08481771605942123,0.16271316325218674,233.762,144,big-m,
0.08481771605942123,0.16271316325218674,233.764,144,big-m,
0.08481771605942123,0.16261595135468265,235.168,144,big-m,
0.08481771605942123,0.16257982181059571,235.174,144,big-m,
0.08481771605942123,0.16252880041558915,238.932,144,big-m,
0.08481771605942123,0.16238538998355476,238.941,144,big-m,
0.08481771605942123,0.1622720549374686,238.945,144,big-m,
0.08481771605942123,0.1622350649240335,240.436,144,big-m,
0.08481771605942123,0.1621395484447401,241.579,144,big-m,
0.08481771605942123,0.16200225448473027,244.457,144,big-m,
0.08481771605942123,0.1619763637140286,244.459,144,big-m,
0.08481771605942123,0.1618490931783141,245.887,144,big-m,
0.08481771605942123,0.1618490931783141,248.069,144,big-m,
0.08481771605942123,0.1618490931783141,250.568,144,big-m,
0.08481771605942123,0.1618490931783141,250.576,144,big-m,
0.08481771605942123,0.1618490931783141,253.411,144,big-m,
0.08481771605942123,0.1618490931783141,253.419,144,big-m,
0.08481771605942123,0.1614809763853711,254.727,144,big-m,
0.08481771605942123,0.16132267855991414,257.529,144,big-m,
0.08481771605942123,0.16118112493993023,257.535,144,big-m,
0.08481771605942123,0.1611004418575024,318.717,144,big-m,
0.08481771605942123,0.1610725417248208,318.724,144,big-m,
0.0850024647158869,0.161038026150021,350.002,144,big-m,
0.08507504076327388,0.16098653518098616,358.468,144,big-m,
0.08507504076327388,0.16090680675380017,364.442,144,big-m,
0.08507504076327388,0.1607611472297916,367.818,144,big-m,
0.08507504076327388,0.16060562332540484,372.432,144,big-m,
0.08507504076327388,0.16060562332540484,376.366,144,big-m,
0.08507504076327388,0.16049950002067478,380.021,144,big-m,
0.08507504076327388,0.16035332666409896,382.365,144,big-m,
0.08507504076327388,0.16026949097344045,382.366,144,big-m,
0.08507504076327388,0.16025455689133478,382.368,144,big-m,
0.08507504076327388,0.16017155621800663,382.371,144,big-m,
0.08507504076327388,0.160142028190751,385.717,144,big-m,
0.08507504076327388,0.15996502656915082,387.492,144,big-m,
0.08507504076327388,0.15995763785982306,387.495,144,big-m,
0.08507504076327388,0.15986303183822673,387.497,144,big-m,
0.08507504076327388,0.1598393971570504,390.532,144,big-m,
0.08507504076327388,0.15975710153993042,390.544,144,big-m,
0.08507504076327388,0.1596455387576518,392.9,144,big-m,
0.08507504076327388,0.1596169984710372,392.902,144,big-m,
0.08507504076327388,0.15946990313409348,398.735,144,big-m,
0.08507504076327388,0.15942978001212346,398.746,144,big-m,
0.08507504076327388,0.15940444321855762,398.752,144,big-m,
