gap	eps	obj	lb	time_limit	nodes_explored	method	img
0.23520370598637594	0.15	-3.340342918945661	-2.554681885144293	1140.0	119410	big-m	122
0.23575743647093098	0.15	-3.340342918945661	-2.552832235441205	1140.0	119327	cayley	122
0.7026183162035049	0.15	-7.78245373916634	-2.3143591970216155	1140.0	63794	big-m	122
0.7028939487486159	0.15	-7.78245373916634	-2.312214099490281	1140.0	63629	cayley	122
0.4788216790653718	0.15	-7.687515555136868	-4.006566449185069	1140.0	28250	big-m	122
0.47576185180155006	0.15	-7.687515555136868	-4.030088918871731	1140.0	29255	cayley	122
8.894375234133041e-5	0.05	-7.639267363807431	-7.638587898702955	120.0	4101	big-m	70
8.894375234133041e-5	0.05	-7.639267363807431	-7.638587898702955	120.0	4101	cayley	70
9.688465791854804e-5	0.05	-7.779095194856694	-7.778341519879825	120.0	10619	big-m	70
9.688465791854804e-5	0.05	-7.779095194856694	-7.778341519879825	120.0	10619	cayley	70
8.75234226558626e-5	0.05	-7.691807186973688	-7.691133973682275	120.0	3001	big-m	70
8.75234226558626e-5	0.05	-7.691807186973688	-7.691133973682275	120.0	3001	cayley	70
0.0046761487533004305	0.1	-7.631083402948794	-7.595399321807763	360.0	93540	big-m	70
0.0046761487533004305	0.1	-7.631083402948794	-7.595399321807763	360.0	93598	cayley	70
0.10417380957294499	0.1	-7.767506379941864	-6.958335649461165	360.0	30513	big-m	70
0.04210804653561326	0.1	-7.767506379941864	-7.440431859829599	360.0	51445	cayley	70
0.004188431469197328	0.1	-7.690668010977099	-7.658456175060773	360.0	76621	big-m	70
0.004188431469197328	0.1	-7.690668010977099	-7.658456175060773	360.0	76621	cayley	70
1.0372554089819108	0.15	-7.624935470226754	0.28407008940397666	1140.0	184238	big-m	70
1.0372554089819108	0.15	-7.624935470226754	0.28407008940397666	1140.0	186229	cayley	70
1.0804598839951138	0.15	-7.746828176773875	0.6233088964333059	1140.0	80913	big-m	70
1.0804598839951138	0.15	-7.746828176773875	0.6233088964333059	1140.0	85309	cayley	70
1.0237330425236717	0.15	-7.6889992729235095	0.18248334670877508	1140.0	75499	big-m	70
1.0237330425236717	0.15	-7.6889992729235095	0.18248334670877508	1140.0	75675	cayley	70
3.222273064136375e-5	0.05	-7.516988889884336	-7.516746671976103	120.0	485	big-m	118
3.222273064136375e-5	0.05	-7.516988889884336	-7.516746671976103	120.0	485	cayley	118
0.0003065172569716797	0.05	-7.465656458952947	-7.463368106413656	120.0	28706	big-m	118
0.0003061228496535613	0.05	-7.465656458952947	-7.463371050923198	120.0	29031	cayley	118
9.047764211401834e-5	0.05	-7.675778577543899	-7.675084091196814	120.0	6297	big-m	118
9.047764211401834e-5	0.05	-7.675778577543899	-7.675084091196814	120.0	6297	cayley	118
0.0016270431060458582	0.1	-7.514493012313475	-7.502266608262361	360.0	287248	big-m	118
