obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.618193746924481,313.102,12,cayley,5
-7.552047795960029,-3.618193746924481,313.102,12,cayley,5
-7.552047795960029,-3.618193746924481,313.102,12,cayley,5
-7.552047795960029,-3.618193746924481,313.103,12,cayley,5
-7.552047795960029,-3.618193746924481,313.103,12,cayley,5
-7.552047795960029,-3.618193746924481,313.104,12,cayley,5
-7.552047795960029,-3.618193746924481,313.104,12,cayley,5
-7.552047795960029,-3.618193746924481,313.104,12,cayley,5
-7.552047795960029,-3.618193746924481,313.104,12,cayley,5
-7.552047795960029,-3.618193746924481,313.105,12,cayley,5
-7.552047795960029,-3.618193746924481,313.105,12,cayley,5
-7.552047795960029,-3.618193746924481,313.105,12,cayley,5
-7.552047795960029,-3.618193746924481,313.105,12,cayley,5
-7.552047795960029,-3.618193746924481,313.106,12,cayley,5
-7.552047795960029,-3.618193746924481,313.106,12,cayley,5
-7.552047795960029,-3.618193746924481,313.106,12,cayley,5
-7.552047795960029,-3.618193746924481,313.106,12,cayley,5
-7.552047795960029,-3.618193746924481,313.107,12,cayley,5
-7.552047795960029,-3.618193746924481,313.107,12,cayley,5
-7.552047795960029,-3.618193746924481,313.107,12,cayley,5
-7.552047795960029,-3.618193746924481,313.107,12,cayley,5
-7.552047795960029,-3.618193746924481,313.108,12,cayley,5
-7.552047795960029,-3.618193746924481,313.108,12,cayley,5
-7.552047795960029,-3.618193746924481,313.108,12,cayley,5
-7.552047795960029,-3.618193746924481,313.108,12,cayley,5
-7.552047795960029,-3.618193746924481,313.108,12,cayley,5
-7.552047795960029,-3.618193746924481,313.109,12,cayley,5
-7.552047795960029,-3.618193746924481,313.109,12,cayley,5
-7.552047795960029,-3.618193746924481,313.11,12,cayley,5
-7.552047795960029,-3.618193746924481,313.11,12,cayley,5
-7.552047795960029,-3.618193746924481,313.11,12,cayley,5
-7.552047795960029,-3.618193746924481,313.11,12,cayley,5
-7.552047795960029,-3.618193746924481,313.111,12,cayley,5
-7.552047795960029,-3.618193746924481,313.111,12,cayley,5
-7.552047795960029,-3.618193746924481,313.111,12,cayley,5
